timestamp,20250720040609,20250906062501
MemTotal,4040828
MemFree,132268
MemAvailable,1147744
Buffers,180740
Cached,944348
SwapCached,1812
Active,1886516
Inactive,1308996
Active(anon),1245136
Inactive(anon),877524
Active(file),641380
Inactive(file),431472
Unevictable,1372
Mlocked,1372
SwapTotal,7071448
SwapFree,7015896
Dirty,348
Writeback,0
AnonPages,2068704
Mapped,245288
Shmem,59452
Slab,244068
SReclaimable,125616
SUnreclaim,118452
KernelStack,13424
PageTables,13972
NFS_Unstable,0
Bounce,0
WritebackTmp,0
CommitLimit,9091860
Committed_AS,6018236
VmallocTotal,263061440
VmallocUsed,0
VmallocChunk,0
Percpu,4160
AnonHugePages,4096
ShmemHugePages,0
ShmemPmdMapped,0
HugePages_Total,0
HugePages_Free,0
HugePages_Rsvd,0
HugePages_Surp,0
Hugepagesize,2048
Hugetlb,0
cmdline,comm,pid,ppid,VmSize,VmRSS,VmSwap
/usr/bin/busybox-legacy/udhcpc--foreground--interfaceeth8--script/usr/share/ubios-udapi-server/ubios-udhcpc-script--decline-script/usr/share/ubios-udapi-server/ubios-udhcpc-decline-script-r62.249.184.112,inet_gethost,6155,6154,2,1,0
sleep120,inet_gethost,6154,5815,2,0,0
run-parts--report/etc/cron.daily,hciattach,1727,1,2,0,0
erl_child_setup65536,cat,2114156,2113711,2,0,0
/usr/bin/earlyoom-n-r60-M256000-s10-p--avoid(^|/)(ubios-udapi-ser|systemd-network)$,cat,2114154,2113711,2,0,0
,awk,2113712,2113710,2,0,0
,awk,2113677,2113675,2,0,0
,agetty,5787,1,2,1,0
,agetty,5727,1,2,1,0
,udhcpc,4156138,1778,1,1,0
,sleep,2113111,5911,1,0,0
,run-parts,2113598,2113594,1,0,0
,erl_child_setup,5815,5713,1,1,0
,earlyoom,1363,1,1,0,0

timestamp,20250720040609,20250907062502
MemTotal,4040828
MemFree,222040
MemAvailable,1178624
Buffers,170008
Cached,897380
SwapCached,1812
Active,1862072
Inactive,1288832
Active(anon),1257220
Inactive(anon),877420
Active(file),604852
Inactive(file),411412
Unevictable,1372
Mlocked,1372
SwapTotal,7071448
SwapFree,7012568
Dirty,240
Writeback,0
AnonPages,2081736
Mapped,238960
Shmem,57976
Slab,242356
SReclaimable,123236
SUnreclaim,119120
KernelStack,13380
PageTables,14208
NFS_Unstable,0
Bounce,0
WritebackTmp,0
CommitLimit,9091860
Committed_AS,6024932
VmallocTotal,263061440
VmallocUsed,0
VmallocChunk,0
Percpu,4160
AnonHugePages,4096
ShmemHugePages,0
ShmemPmdMapped,0
HugePages_Total,0
HugePages_Free,0
